Notification: The page size on your hardware system is: 4096 bytes.
Notification: An anonymous shared mapping in memory was created, with read/write permmission, and with the length: 100.
[Consumer] Notification: I read the 138th text, "Text: 138", from the mapping.
[Consumer] Notification: I read the 139th text, "Text: 139", from the mapping.
[Consumer] Notification: I read the 140th text, "Text: 140", from the mapping.
[Producer] Notification: I wrote the 283th text, "Text: 283", in the mapping.
[Producer] Notification: I wrote the 284th text, "Text: 284", in the mapping.
[Consumer] Notification: I read the 141th text, "Text: 141", from the mapping.
[Producer] Notification: I wrote the 285th text, "Text: 285", in the mapping.
[Producer] Notification: I wrote the 286th text, "Text: 286", in the mapping.
[Consumer] Notification: I read the 142th text, "Text: 142", from the mapping.
[Producer] Notification: I wrote the 287th text, "Text: 287", in the mapping.
[Producer] Notification: I wrote the 288th text, "Text: 288", in the mapping.
[Consumer] Notification: I read the 143th text, "Text: 143", from the mapping.
[Producer] Notification: I wrote the 289th text, "Text: 289", in the mapping.
[Producer] Notification: I wrote the 290th text, "Text: 290", in the mapping.
[Producer] Notification: I wrote the 291th text, "Text: 291", in the mapping.
[Consumer] Notification: I read the 144th text, "Text: 144", from the mapping.
[Producer] Notification: I wrote the 292th text, "Text: 292", in the mapping.
[Producer] Notification: I wrote the 293th text, "Text: 293", in the mapping.
[Consumer] Notification: I read the 145th text, "Text: 145", from the mapping.
[Producer] Notification: I wrote the 294th text, "Text: 294", in the mapping.
[Producer] Notification: I wrote the 295th text, "Text: 295", in the mapping.
[Consumer] Notification: I read the 146th text, "Text: 146", from the mapping.
[Producer] Notification: I wrote the 296th text, "Text: 296", in the mapping.
[Producer] Notification: I wrote the 297th text, "Text: 297", in the mapping.
[Producer] Notification: I wrote the 298th text, "Text: 298", in the mapping.
[Consumer] Notification: I read the 147th text, "Text: 147", from the mapping.
[Producer] Notification: I wrote the 299th text, "Text: 299", in the mapping.
[Consumer] Notification: I read the 148th text, "Text: 148", from the mapping.
[Producer] Notification: I wrote the 300th text, "Text: 300", in the mapping.
[Consumer] Notification: I read the 149th text, "Text: 149", from the mapping.
[Producer] Notification: I wrote the 301th text, "Text: 301", in the mapping.
[Producer] Notification: I wrote the 302th text, "Text: 302", in the mapping.
[Consumer] Notification: I read the 150th text, "Text: 150", from the mapping.
[Producer] Notification: I wrote the 303th text, "Text: 303", in the mapping.
[Consumer] Notification: I read the 151th text, "Text: 151", from the mapping.
[Producer] Notification: I wrote the 304th text, "Text: 304", in the mapping.
[Producer] Notification: I wrote the 305th text, "Text: 305", in the mapping.
[Consumer] Notification: I read the 152th text, "Text: 152", from the mapping.
[Producer] Notification: I wrote the 306th text, "Text: 306", in the mapping.
[Producer] Notification: I wrote the 307th text, "Text: 307", in the mapping.
[Consumer] Notification: I read the 153th text, "Text: 153", from the mapping.
[Producer] Notification: I wrote the 308th text, "Text: 308", in the mapping.
[Producer] Notification: I wrote the 309th text, "Text: 309", in the mapping.
[Consumer] Notification: I read the 154th text, "Text: 154", from the mapping.
[Producer] Notification: I wrote the 310th text, "Text: 310", in the mapping.
[Producer] Notification: I wrote the 311th text, "Text: 311", in the mapping.
[Consumer] Notification: I read the 155th text, "Text: 155", from the mapping.
[Producer] Notification: I wrote the 312th text, "Text: 312", in the mapping.
[Consumer] Notification: I read the 156th text, "Text: 156", from the mapping.
[Producer] Notification: I wrote the 313th text, "Text: 313", in the mapping.
[Consumer] Notification: I read the 157th text, "Text: 157", from the mapping.
[Producer] Notification: I wrote the 314th text, "Text: 314", in the mapping.
[Consumer] Notification: I read the 158th text, "Text: 158", from the mapping.
[Producer] Notification: I wrote the 315th text, "Text: 315", in the mapping.
[Consumer] Notification: I read the 159th text, "Text: 159", from the mapping.
[Producer] Notification: I wrote the 316th text, "Text: 316", in the mapping.
[Producer] Notification: I wrote the 317th text, "Text: 317", in the mapping.
[Consumer] Notification: I read the 160th text, "Text: 160", from the mapping.
[Producer] Notification: I wrote the 318th text, "Text: 318", in the mapping.
[Producer] Notification: I wrote the 319th text, "Text: 319", in the mapping.
[Consumer] Notification: I read the 161th text, "Text: 161", from the mapping.
[Producer] Notification: I wrote the 320th text, "Text: 320", in the mapping.
[Producer] Notification: I wrote the 321th text, "Text: 321", in the mapping.
[Consumer] Notification: I read the 162th text, "Text: 162", from the mapping.
[Producer] Notification: I wrote the 322th text, "Text: 322", in the mapping.
[Producer] Notification: I wrote the 323th text, "Text: 323", in the mapping.
[Consumer] Notification: I read the 163th text, "Text: 163", from the mapping.
[Producer] Notification: I wrote the 324th text, "Text: 324", in the mapping.
[Producer] Notification: I wrote the 325th text, "Text: 325", in the mapping.
[Consumer] Notification: I read the 164th text, "Text: 164", from the mapping.
[Producer] Notification: I wrote the 326th text, "Text: 326", in the mapping.
[Producer] Notification: I wrote the 327th text, "Text: 327", in the mapping.
[Consumer] Notification: I read the 165th text, "Text: 165", from the mapping.
[Producer] Notification: I wrote the 328th text, "Text: 328", in the mapping.
[Producer] Notification: I wrote the 329th text, "Text: 329", in the mapping.
[Consumer] Notification: I read the 166th text, "Text: 166", from the mapping.
[Producer] Notification: I wrote the 330th text, "Text: 330", in the mapping.
[Producer] Notification: I wrote the 331th text, "Text: 331", in the mapping.
[Consumer] Notification: I read the 167th text, "Text: 167", from the mapping.
[Producer] Notification: I wrote the 332th text, "Text: 332", in the mapping.
[Producer] Notification: I wrote the 333th text, "Text: 333", in the mapping.
[Consumer] Notification: I read the 168th text, "Text: 168", from the mapping.
[Producer] Notification: I wrote the 334th text, "Text: 334", in the mapping.
[Producer] Notification: I wrote the 335th text, "Text: 335", in the mapping.
[Consumer] Notification: I read the 169th text, "Text: 169", from the mapping.
[Producer] Notification: I wrote the 336th text, "Text: 336", in the mapping.
[Producer] Notification: I wrote the 337th text, "Text: 337", in the mapping.
[Consumer] Notification: I read the 170th text, "Text: 170", from the mapping.
[Producer] Notification: I wrote the 338th text, "Text: 338", in the mapping.
[Producer] Notification: I wrote the 339th text, "Text: 339", in the mapping.
[Consumer] Notification: I read the 171th text, "Text: 171", from the mapping.
[Producer] Notification: I wrote the 340th text, "Text: 340", in the mapping.
[Producer] Notification: I wrote the 341th text, "Text: 341", in the mapping.
[Consumer] Notification: I read the 172th text, "Text: 172", from the mapping.
[Producer] Notification: I wrote the 342th text, "Text: 342", in the mapping.
[Producer] Notification: I wrote the 343th text, "Text: 343", in the mapping.
[Consumer] Notification: I read the 173th text, "Text: 173", from the mapping.
[Producer] Notification: I wrote the 344th text, "Text: 344", in the mapping.
[Producer] Notification: I wrote the 345th text, "Text: 345", in the mapping.
[Consumer] Notification: I read the 174th text, "Text: 174", from the mapping.
[Producer] Notification: I wrote the 346th text, "Text: 346", in the mapping.
[Producer] Notification: I wrote the 347th text, "Text: 347", in the mapping.
[Consumer] Notification: I read the 175th text, "Text: 175", from the mapping.
[Producer] Notification: I wrote the 348th text, "Text: 348", in the mapping.
[Producer] Notification: I wrote the 349th text, "Text: 349", in the mapping.
[Consumer] Notification: I read the 176th text, "Text: 176", from the mapping.
[Producer] Notification: I wrote the 350th text, "Text: 350", in the mapping.
[Producer] Notification: I wrote the 351th text, "Text: 351", in the mapping.
[Consumer] Notification: I read the 177th text, "Text: 177", from the mapping.
[Producer] Notification: I wrote the 352th text, "Text: 352", in the mapping.
[Producer] Notification: I wrote the 353th text, "Text: 353", in the mapping.
[Consumer] Notification: I read the 178th text, "Text: 178", from the mapping.
[Producer] Notification: I wrote the 354th text, "Text: 354", in the mapping.
[Consumer] Notification: I read the 179th text, "Text: 179", from the mapping.
[Producer] Notification: I wrote the 355th text, "Text: 355", in the mapping.
[Producer] Notification: I wrote the 356th text, "Text: 356", in the mapping.
[Consumer] Notification: I read the 180th text, "Text: 180", from the mapping.
[Producer] Notification: I wrote the 357th text, "Text: 357", in the mapping.
[Producer] Notification: I wrote the 358th text, "Text: 358", in the mapping.
[Consumer] Notification: I read the 181th text, "Text: 181", from the mapping.
[Producer] Notification: I wrote the 359th text, "Text: 359", in the mapping.
[Consumer] Notification: I read the 182th text, "Text: 182", from the mapping.
[Producer] Notification: I wrote the 360th text, "Text: 360", in the mapping.
[Consumer] Notification: I read the 183th text, "Text: 183", from the mapping.
[Producer] Notification: I wrote the 361th text, "Text: 361", in the mapping.
[Producer] Notification: I wrote the 362th text, "Text: 362", in the mapping.
[Consumer] Notification: I read the 184th text, "Text: 184", from the mapping.
[Producer] Notification: I wrote the 363th text, "Text: 363", in the mapping.
[Producer] Notification: I wrote the 364th text, "Text: 364", in the mapping.
[Consumer] Notification: I read the 185th text, "Text: 185", from the mapping.
[Producer] Notification: I wrote the 365th text, "Text: 365", in the mapping.
[Producer] Notification: I wrote the 366th text, "Text: 366", in the mapping.
[Consumer] Notification: I read the 186th text, "Text: 186", from the mapping.
[Producer] Notification: I wrote the 367th text, "Text: 367", in the mapping.
[Producer] Notification: I wrote the 368th text, "Text: 368", in the mapping.
[Consumer] Notification: I read the 187th text, "Text: 187", from the mapping.
[Producer] Notification: I wrote the 369th text, "Text: 369", in the mapping.
[Producer] Notification: I wrote the 370th text, "Text: 370", in the mapping.
[Consumer] Notification: I read the 188th text, "Text: 188", from the mapping.
[Producer] Notification: I wrote the 371th text, "Text: 371", in the mapping.
[Producer] Notification: I wrote the 372th text, "Text: 372", in the mapping.
[Consumer] Notification: I read the 189th text, "Text: 189", from the mapping.
[Producer] Notification: I wrote the 373th text, "Text: 373", in the mapping.
[Consumer] Notification: I read the 190th text, "Text: 190", from the mapping.
[Producer] Notification: I wrote the 374th text, "Text: 374", in the mapping.
[Producer] Notification: I wrote the 375th text, "Text: 375", in the mapping.
[Consumer] Notification: I read the 191th text, "Text: 191", from the mapping.
[Producer] Notification: I wrote the 376th text, "Text: 376", in the mapping.
[Producer] Notification: I wrote the 377th text, "Text: 377", in the mapping.
[Consumer] Notification: I read the 192th text, "Text: 192", from the mapping.
[Producer] Notification: I wrote the 378th text, "Text: 378", in the mapping.
[Producer] Notification: I wrote the 379th text, "Text: 379", in the mapping.
[Consumer] Notification: I read the 193th text, "Text: 193", from the mapping.
[Producer] Notification: I wrote the 380th text, "Text: 380", in the mapping.
[Consumer] Notification: I read the 194th text, "Text: 194", from the mapping.
[Producer] Notification: I wrote the 381th text, "Text: 381", in the mapping.
[Producer] Notification: I wrote the 382th text, "Text: 382", in the mapping.
[Consumer] Notification: I read the 195th text, "Text: 195", from the mapping.
[Producer] Notification: I wrote the 383th text, "Text: 383", in the mapping.
[Consumer] Notification: I read the 196th text, "Text: 196", from the mapping.
[Producer] Notification: I wrote the 384th text, "Text: 384", in the mapping.
[Producer] Notification: I wrote the 385th text, "Text: 385", in the mapping.
[Consumer] Notification: I read the 197th text, "Text: 197", from the mapping.
[Producer] Notification: I wrote the 386th text, "Text: 386", in the mapping.
[Producer] Notification: I wrote the 387th text, "Text: 387", in the mapping.
[Consumer] Notification: I read the 198th text, "Text: 198", from the mapping.
[Producer] Notification: I wrote the 388th text, "Text: 388", in the mapping.
[Producer] Notification: I wrote the 389th text, "Text: 389", in the mapping.
[Consumer] Notification: I read the 199th text, "Text: 199", from the mapping.
[Producer] Notification: I wrote the 390th text, "Text: 390", in the mapping.
[Producer] Notification: I wrote the 391th text, "Text: 391", in the mapping.
[Consumer] Notification: I read the 200th text, "Text: 200", from the mapping.
[Producer] Notification: I wrote the 392th text, "Text: 392", in the mapping.
[Consumer] Notification: I read the 201th text, "Text: 201", from the mapping.
[Producer] Notification: I wrote the 393th text, "Text: 393", in the mapping.
[Producer] Notification: I wrote the 394th text, "Text: 394", in the mapping.
[Consumer] Notification: I read the 202th text, "Text: 202", from the mapping.
[Producer] Notification: I wrote the 395th text, "Text: 395", in the mapping.
[Producer] Notification: I wrote the 396th text, "Text: 396", in the mapping.
[Consumer] Notification: I read the 203th text, "Text: 203", from the mapping.
[Producer] Notification: I wrote the 397th text, "Text: 397", in the mapping.
[Producer] Notification: I wrote the 398th text, "Text: 398", in the mapping.
[Consumer] Notification: I read the 204th text, "Text: 204", from the mapping.
[Producer] Notification: I wrote the 399th text, "Text: 399", in the mapping.
[Consumer] Notification: I read the 205th text, "Text: 205", from the mapping.
[Producer] Notification: I wrote the 400th text, "Text: 400", in the mapping.
[Producer] Notification: I wrote the 401th text, "Text: 401", in the mapping.
[Consumer] Notification: I read the 206th text, "Text: 206", from the mapping.
[Producer] Notification: I wrote the 402th text, "Text: 402", in the mapping.
[Consumer] Notification: I read the 207th text, "Text: 207", from the mapping.
[Producer] Notification: I wrote the 403th text, "Text: 403", in the mapping.
[Producer] Notification: I wrote the 404th text, "Text: 404", in the mapping.
[Consumer] Notification: I read the 208th text, "Text: 208", from the mapping.
[Producer] Notification: I wrote the 405th text, "Text: 405", in the mapping.
[Producer] Notification: I wrote the 406th text, "Text: 406", in the mapping.
[Consumer] Notification: I read the 209th text, "Text: 209", from the mapping.
[Producer] Notification: I wrote the 407th text, "Text: 407", in the mapping.
[Consumer] Notification: I read the 210th text, "Text: 210", from the mapping.
[Producer] Notification: I wrote the 408th text, "Text: 408", in the mapping.
    // Aici părintele a scris la adresele 4080-4089, i.e. ultima scriere(a unui text) care reușește!
Segmentation fault (core dumped)
    // Aici părintele a scris la adresele 4090-4099 și a "crăpat".
    // Mai exact, când a ajuns la scrierea adresei 4096 (i.e. înafara paginii alocate mapării), procesul producător a "crăpat" !
[Consumer] Notification: I read the 211th text, "Text: 211", from the mapping.
[Consumer] Notification: I read the 212th text, "Text: 212", from the mapping.
[Consumer] Notification: I read the 213th text, "Text: 213", from the mapping.
[Consumer] Notification: I read the 214th text, "Text: 214", from the mapping.
[Consumer] Notification: I read the 215th text, "Text: 215", from the mapping.
[Consumer] Notification: I read the 216th text, "Text: 216", from the mapping.
[Consumer] Notification: I read the 217th text, "Text: 217", from the mapping.
[Consumer] Notification: I read the 218th text, "Text: 218", from the mapping.
[Consumer] Notification: I read the 219th text, "Text: 219", from the mapping.
[Consumer] Notification: I read the 220th text, "Text: 220", from the mapping.
[Consumer] Notification: I read the 221th text, "Text: 221", from the mapping.
[Consumer] Notification: I read the 222th text, "Text: 222", from the mapping.
[Consumer] Notification: I read the 223th text, "Text: 223", from the mapping.
[Consumer] Notification: I read the 224th text, "Text: 224", from the mapping.
[Consumer] Notification: I read the 225th text, "Text: 225", from the mapping.
[Consumer] Notification: I read the 226th text, "Text: 226", from the mapping.
[Consumer] Notification: I read the 227th text, "Text: 227", from the mapping.
[Consumer] Notification: I read the 228th text, "Text: 228", from the mapping.
[Consumer] Notification: I read the 229th text, "Text: 229", from the mapping.
[Consumer] Notification: I read the 230th text, "Text: 230", from the mapping.
[Consumer] Notification: I read the 231th text, "Text: 231", from the mapping.
[Consumer] Notification: I read the 232th text, "Text: 232", from the mapping.
[Consumer] Notification: I read the 233th text, "Text: 233", from the mapping.
[Consumer] Notification: I read the 234th text, "Text: 234", from the mapping.
[Consumer] Notification: I read the 235th text, "Text: 235", from the mapping.
[Consumer] Notification: I read the 236th text, "Text: 236", from the mapping.
[Consumer] Notification: I read the 237th text, "Text: 237", from the mapping.
[Consumer] Notification: I read the 238th text, "Text: 238", from the mapping.
[Consumer] Notification: I read the 239th text, "Text: 239", from the mapping.
[Consumer] Notification: I read the 240th text, "Text: 240", from the mapping.
[Consumer] Notification: I read the 241th text, "Text: 241", from the mapping.
[Consumer] Notification: I read the 242th text, "Text: 242", from the mapping.
[Consumer] Notification: I read the 243th text, "Text: 243", from the mapping.
[Consumer] Notification: I read the 244th text, "Text: 244", from the mapping.
[Consumer] Notification: I read the 245th text, "Text: 245", from the mapping.
[Consumer] Notification: I read the 246th text, "Text: 246", from the mapping.
[Consumer] Notification: I read the 247th text, "Text: 247", from the mapping.
[Consumer] Notification: I read the 248th text, "Text: 248", from the mapping.
[Consumer] Notification: I read the 249th text, "Text: 249", from the mapping.
[Consumer] Notification: I read the 250th text, "Text: 250", from the mapping.
[Consumer] Notification: I read the 251th text, "Text: 251", from the mapping.
[Consumer] Notification: I read the 252th text, "Text: 252", from the mapping.
[Consumer] Notification: I read the 253th text, "Text: 253", from the mapping.
[Consumer] Notification: I read the 254th text, "Text: 254", from the mapping.
[Consumer] Notification: I read the 255th text, "Text: 255", from the mapping.
[Consumer] Notification: I read the 256th text, "Text: 256", from the mapping.
[Consumer] Notification: I read the 257th text, "Text: 257", from the mapping.
[Consumer] Notification: I read the 258th text, "Text: 258", from the mapping.
[Consumer] Notification: I read the 259th text, "Text: 259", from the mapping.
[Consumer] Notification: I read the 260th text, "Text: 260", from the mapping.
[Consumer] Notification: I read the 261th text, "Text: 261", from the mapping.
[Consumer] Notification: I read the 262th text, "Text: 262", from the mapping.
[Consumer] Notification: I read the 263th text, "Text: 263", from the mapping.
[Consumer] Notification: I read the 264th text, "Text: 264", from the mapping.
[Consumer] Notification: I read the 265th text, "Text: 265", from the mapping.
[Consumer] Notification: I read the 266th text, "Text: 266", from the mapping.
[Consumer] Notification: I read the 267th text, "Text: 267", from the mapping.
[Consumer] Notification: I read the 268th text, "Text: 268", from the mapping.
[Consumer] Notification: I read the 269th text, "Text: 269", from the mapping.
[Consumer] Notification: I read the 270th text, "Text: 270", from the mapping.
[Consumer] Notification: I read the 271th text, "Text: 271", from the mapping.
[Consumer] Notification: I read the 272th text, "Text: 272", from the mapping.
[Consumer] Notification: I read the 273th text, "Text: 273", from the mapping.
[Consumer] Notification: I read the 274th text, "Text: 274", from the mapping.
[Consumer] Notification: I read the 275th text, "Text: 275", from the mapping.
[Consumer] Notification: I read the 276th text, "Text: 276", from the mapping.
[Consumer] Notification: I read the 277th text, "Text: 277", from the mapping.
[Consumer] Notification: I read the 278th text, "Text: 278", from the mapping.
[Consumer] Notification: I read the 279th text, "Text: 279", from the mapping.
[Consumer] Notification: I read the 280th text, "Text: 280", from the mapping.
[Consumer] Notification: I read the 281th text, "Text: 281", from the mapping.
[Consumer] Notification: I read the 282th text, "Text: 282", from the mapping.
[Consumer] Notification: I read the 283th text, "Text: 283", from the mapping.
[Consumer] Notification: I read the 284th text, "Text: 284", from the mapping.
[Consumer] Notification: I read the 285th text, "Text: 285", from the mapping.
[Consumer] Notification: I read the 286th text, "Text: 286", from the mapping.
[Consumer] Notification: I read the 287th text, "Text: 287", from the mapping.
[Consumer] Notification: I read the 288th text, "Text: 288", from the mapping.
[Consumer] Notification: I read the 289th text, "Text: 289", from the mapping.
[Consumer] Notification: I read the 290th text, "Text: 290", from the mapping.
[Consumer] Notification: I read the 291th text, "Text: 291", from the mapping.
[Consumer] Notification: I read the 292th text, "Text: 292", from the mapping.
[Consumer] Notification: I read the 293th text, "Text: 293", from the mapping.
[Consumer] Notification: I read the 294th text, "Text: 294", from the mapping.
[Consumer] Notification: I read the 295th text, "Text: 295", from the mapping.
[Consumer] Notification: I read the 296th text, "Text: 296", from the mapping.
[Consumer] Notification: I read the 297th text, "Text: 297", from the mapping.
[Consumer] Notification: I read the 298th text, "Text: 298", from the mapping.
[Consumer] Notification: I read the 299th text, "Text: 299", from the mapping.
[Consumer] Notification: I read the 300th text, "Text: 300", from the mapping.
[Consumer] Notification: I read the 301th text, "Text: 301", from the mapping.
[Consumer] Notification: I read the 302th text, "Text: 302", from the mapping.
[Consumer] Notification: I read the 303th text, "Text: 303", from the mapping.
[Consumer] Notification: I read the 304th text, "Text: 304", from the mapping.
[Consumer] Notification: I read the 305th text, "Text: 305", from the mapping.
[Consumer] Notification: I read the 306th text, "Text: 306", from the mapping.
[Consumer] Notification: I read the 307th text, "Text: 307", from the mapping.
[Consumer] Notification: I read the 308th text, "Text: 308", from the mapping.
[Consumer] Notification: I read the 309th text, "Text: 309", from the mapping.
[Consumer] Notification: I read the 310th text, "Text: 310", from the mapping.
[Consumer] Notification: I read the 311th text, "Text: 311", from the mapping.
[Consumer] Notification: I read the 312th text, "Text: 312", from the mapping.
[Consumer] Notification: I read the 313th text, "Text: 313", from the mapping.
[Consumer] Notification: I read the 314th text, "Text: 314", from the mapping.
[Consumer] Notification: I read the 315th text, "Text: 315", from the mapping.
[Consumer] Notification: I read the 316th text, "Text: 316", from the mapping.
[Consumer] Notification: I read the 317th text, "Text: 317", from the mapping.
[Consumer] Notification: I read the 318th text, "Text: 318", from the mapping.
[Consumer] Notification: I read the 319th text, "Text: 319", from the mapping.
[Consumer] Notification: I read the 320th text, "Text: 320", from the mapping.
[Consumer] Notification: I read the 321th text, "Text: 321", from the mapping.
[Consumer] Notification: I read the 322th text, "Text: 322", from the mapping.
[Consumer] Notification: I read the 323th text, "Text: 323", from the mapping.
[Consumer] Notification: I read the 324th text, "Text: 324", from the mapping.
[Consumer] Notification: I read the 325th text, "Text: 325", from the mapping.
[Consumer] Notification: I read the 326th text, "Text: 326", from the mapping.
[Consumer] Notification: I read the 327th text, "Text: 327", from the mapping.
[Consumer] Notification: I read the 328th text, "Text: 328", from the mapping.
[Consumer] Notification: I read the 329th text, "Text: 329", from the mapping.
[Consumer] Notification: I read the 330th text, "Text: 330", from the mapping.
[Consumer] Notification: I read the 331th text, "Text: 331", from the mapping.
[Consumer] Notification: I read the 332th text, "Text: 332", from the mapping.
[Consumer] Notification: I read the 333th text, "Text: 333", from the mapping.
[Consumer] Notification: I read the 334th text, "Text: 334", from the mapping.
[Consumer] Notification: I read the 335th text, "Text: 335", from the mapping.
[Consumer] Notification: I read the 336th text, "Text: 336", from the mapping.
[Consumer] Notification: I read the 337th text, "Text: 337", from the mapping.
[Consumer] Notification: I read the 338th text, "Text: 338", from the mapping.
[Consumer] Notification: I read the 339th text, "Text: 339", from the mapping.
[Consumer] Notification: I read the 340th text, "Text: 340", from the mapping.
[Consumer] Notification: I read the 341th text, "Text: 341", from the mapping.
[Consumer] Notification: I read the 342th text, "Text: 342", from the mapping.
[Consumer] Notification: I read the 343th text, "Text: 343", from the mapping.
[Consumer] Notification: I read the 344th text, "Text: 344", from the mapping.
[Consumer] Notification: I read the 345th text, "Text: 345", from the mapping.
[Consumer] Notification: I read the 346th text, "Text: 346", from the mapping.
[Consumer] Notification: I read the 347th text, "Text: 347", from the mapping.
[Consumer] Notification: I read the 348th text, "Text: 348", from the mapping.
[Consumer] Notification: I read the 349th text, "Text: 349", from the mapping.
[Consumer] Notification: I read the 350th text, "Text: 350", from the mapping.
[Consumer] Notification: I read the 351th text, "Text: 351", from the mapping.
[Consumer] Notification: I read the 352th text, "Text: 352", from the mapping.
[Consumer] Notification: I read the 353th text, "Text: 353", from the mapping.
[Consumer] Notification: I read the 354th text, "Text: 354", from the mapping.
[Consumer] Notification: I read the 355th text, "Text: 355", from the mapping.
[Consumer] Notification: I read the 356th text, "Text: 356", from the mapping.
[Consumer] Notification: I read the 357th text, "Text: 357", from the mapping.
[Consumer] Notification: I read the 358th text, "Text: 358", from the mapping.
[Consumer] Notification: I read the 359th text, "Text: 359", from the mapping.
[Consumer] Notification: I read the 360th text, "Text: 360", from the mapping.
[Consumer] Notification: I read the 361th text, "Text: 361", from the mapping.
[Consumer] Notification: I read the 362th text, "Text: 362", from the mapping.
[Consumer] Notification: I read the 363th text, "Text: 363", from the mapping.
[Consumer] Notification: I read the 364th text, "Text: 364", from the mapping.
[Consumer] Notification: I read the 365th text, "Text: 365", from the mapping.
[Consumer] Notification: I read the 366th text, "Text: 366", from the mapping.
[Consumer] Notification: I read the 367th text, "Text: 367", from the mapping.
[Consumer] Notification: I read the 368th text, "Text: 368", from the mapping.
[Consumer] Notification: I read the 369th text, "Text: 369", from the mapping.
[Consumer] Notification: I read the 370th text, "Text: 370", from the mapping.
[Consumer] Notification: I read the 371th text, "Text: 371", from the mapping.
[Consumer] Notification: I read the 372th text, "Text: 372", from the mapping.
[Consumer] Notification: I read the 373th text, "Text: 373", from the mapping.
[Consumer] Notification: I read the 374th text, "Text: 374", from the mapping.
[Consumer] Notification: I read the 375th text, "Text: 375", from the mapping.
[Consumer] Notification: I read the 376th text, "Text: 376", from the mapping.
[Consumer] Notification: I read the 377th text, "Text: 377", from the mapping.
[Consumer] Notification: I read the 378th text, "Text: 378", from the mapping.
[Consumer] Notification: I read the 379th text, "Text: 379", from the mapping.
[Consumer] Notification: I read the 380th text, "Text: 380", from the mapping.
[Consumer] Notification: I read the 381th text, "Text: 381", from the mapping.
[Consumer] Notification: I read the 382th text, "Text: 382", from the mapping.
[Consumer] Notification: I read the 383th text, "Text: 383", from the mapping.
[Consumer] Notification: I read the 384th text, "Text: 384", from the mapping.
[Consumer] Notification: I read the 385th text, "Text: 385", from the mapping.
[Consumer] Notification: I read the 386th text, "Text: 386", from the mapping.
[Consumer] Notification: I read the 387th text, "Text: 387", from the mapping.
[Consumer] Notification: I read the 388th text, "Text: 388", from the mapping.
[Consumer] Notification: I read the 389th text, "Text: 389", from the mapping.
[Consumer] Notification: I read the 390th text, "Text: 390", from the mapping.
[Consumer] Notification: I read the 391th text, "Text: 391", from the mapping.
[Consumer] Notification: I read the 392th text, "Text: 392", from the mapping.
[Consumer] Notification: I read the 393th text, "Text: 393", from the mapping.
[Consumer] Notification: I read the 394th text, "Text: 394", from the mapping.
[Consumer] Notification: I read the 395th text, "Text: 395", from the mapping.
[Consumer] Notification: I read the 396th text, "Text: 396", from the mapping.
[Consumer] Notification: I read the 397th text, "Text: 397", from the mapping.
[Consumer] Notification: I read the 398th text, "Text: 398", from the mapping.
[Consumer] Notification: I read the 399th text, "Text: 399", from the mapping.
[Consumer] Notification: I read the 400th text, "Text: 400", from the mapping.
[Consumer] Notification: I read the 401th text, "Text: 401", from the mapping.
[Consumer] Notification: I read the 402th text, "Text: 402", from the mapping.
[Consumer] Notification: I read the 403th text, "Text: 403", from the mapping.
[Consumer] Notification: I read the 404th text, "Text: 404", from the mapping.
[Consumer] Notification: I read the 405th text, "Text: 405", from the mapping.
[Consumer] Notification: I read the 406th text, "Text: 406", from the mapping.
[Consumer] Notification: I read the 407th text, "Text: 407", from the mapping.
[Consumer] Notification: I read the 408th text, "Text: 408", from the mapping.
    // Aici fiul a citit de la adresele 4080-4089, i.e. ultima citire (a unui text) care reușește!
    // Apoi fiul trece la următorul text și, mai întâi, verifică dacă poate citi de la adresele 4090-4099,
    // "blocându-se" în bucla repetitivă în care face acea verificare.
    // Mai exact, când consumatorul va verifica valoarea de la adresa 4098 (i.e., înafara paginii alocate mapării),
    // citirea de la acea adresă reușește, dar citește valoarea zero, pe care o va tot citi în mod repetat,
    // la infinit, în acea buclă, deoarece nu mai are cine să o modifice, producătorul fiind terminat forțat!


